"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","phlrr2019",,,,"User:","root"
"Cmdline:","dstat -cdnmgyr --output all-utils.csv",,,,"Date:","23 Apr 2020 20:57:24 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"system",,"io/total",
0.716,1.468,59.993,37.787,0.0,0.036,559087616.0,0.0,1350.0,21084.0,18015580160.0,46153728.0,40951914496.0,4.81932406784e+11,0.0,0.0,6073.0,7358.0,3175.0,0.0
6.371,3.816,51.728,38.013,0.0,0.072,555282432.0,0.0,1590.0,20850.0,19545088000.0,46370816.0,41516969984.0,4.79837626368e+11,0.0,0.0,8355.0,10053.0,3463.0,0.0
7.524,4.479,37.048,50.878,0.0,0.072,609640448.0,81920.0,1860.0,20862.0,21343236096.0,46456832.0,42133745664.0,4.77422616576e+11,0.0,0.0,7170.0,8872.0,2902.0,4.0
7.966,4.198,33.369,54.360,0.0,0.108,658989056.0,0.0,1380.0,20924.0,23198023680.0,46473216.0,42803408896.0,4.74898149376e+11,0.0,0.0,8490.0,9738.0,3226.0,0.0
8.129,4.424,39.964,47.302,0.0,0.180,615370752.0,139264.0,1080.0,20598.0,25030455296.0,46510080.0,43428581376.0,4.72440508416e+11,0.0,0.0,15309.0,9902.0,2872.0,5.0
10.043,6.277,26.220,57.389,0.0,0.072,559767552.0,0.0,1950.0,37858.0,26760105984.0,46530560.0,43988639744.0,4.7015077888e+11,0.0,0.0,11053.0,8090.0,2327.0,0.0
10.494,6.411,30.086,52.794,0.0,0.215,555520000.0,0.0,1827.0,28682.0,28347002880.0,46530560.0,44544962560.0,4.68007559168e+11,0.0,0.0,11183.0,7665.0,2254.0,0.0
14.245,8.554,28.168,48.855,0.0,0.179,560078848.0,61440.0,1848.0,21008.0,29582606336.0,46538752.0,45107687424.0,4.66209222656e+11,0.0,0.0,89775.0,7942.0,2273.0,5.0
25.153,13.694,33.477,27.532,0.0,0.144,561303552.0,49152.0,1050.0,20436.0,32235642880.0,46596096.0,45680205824.0,4.62983610368e+11,0.0,0.0,147095.0,12366.0,2545.0,3.0
24.544,14.311,34.741,26.082,0.0,0.322,561905664.0,0.0,1200.0,21234.0,34775318528.0,46596096.0,46242807808.0,4.59881332736e+11,0.0,0.0,140506.0,11680.0,2468.0,0.0
19.806,13.936,37.847,28.340,0.0,0.072,561459200.0,0.0,1510.0,30480.0,36492697600.0,46596096.0,46804008960.0,4.57602752512e+11,0.0,0.0,22045.0,12390.0,2837.0,0.0
28.212,16.009,38.658,17.121,0.0,0.0,559484928.0,0.0,1080.0,20336.0,37184106496.0,46604288.0,47359254528.0,4.56356089856e+11,0.0,0.0,138800.0,12501.0,4063.0,0.0
26.459,14.357,56.284,2.828,0.0,0.072,257708032.0,16384.0,990.0,20436.0,37939044352.0,46612480.0,47615463424.0,4.55344934912e+11,0.0,0.0,48864.0,7387.0,2002.0,2.0
20.136,12.067,67.654,0.0,0.0,0.143,0.0,0.0,3150.0,23000.0,37937364992.0,46612480.0,47617040384.0,4.55345037312e+11,0.0,0.0,2892.0,2815.0,0.0,0.0
19.714,12.487,67.764,0.0,0.0,0.036,0.0,90112.0,1190.0,20450.0,37936648192.0,46620672.0,47617044480.0,4.55345741824e+11,0.0,0.0,2984.0,2522.0,0.0,14.0
19.422,12.745,67.726,0.0,0.0,0.107,0.0,0.0,1500.0,20728.0,37936259072.0,46620672.0,47617044480.0,4.55346130944e+11,0.0,0.0,3119.0,2497.0,0.0,0.0
3.168,4.428,92.333,0.0,0.0,0.072,0.0,0.0,1992.0,21330.0,38195757056.0,46620672.0,47631728640.0,4.550719488e+11,0.0,0.0,2465.0,3970.0,0.0,0.0
0.036,3.490,96.474,0.0,0.0,0.0,0.0,28672.0,780.0,20242.0,38087069696.0,46628864.0,47631724544.0,4.55180632064e+11,0.0,0.0,1471.0,1763.0,0.0,3.0
0.0,3.547,96.345,0.0,0.0,0.109,0.0,0.0,1182.0,20574.0,37979095040.0,46628864.0,47631732736.0,4.55288598528e+11,0.0,0.0,2079.0,2271.0,0.0,0.0
3.494,9.006,79.719,7.601,0.0,0.180,158728192.0,0.0,16802444.0,16761588.0,37928296448.0,46628864.0,47792852992.0,4.55178276864e+11,0.0,0.0,10934.0,9299.0,985.0,0.0
12.755,11.501,43.246,32.282,0.0,0.215,555851776.0,12288.0,8401700.0,8395142.0,37933281280.0,46637056.0,48351793152.0,4.5461434368e+11,0.0,0.0,11909.0,9295.0,3186.0,2.0
5.597,3.516,51.884,38.931,0.0,0.072,552448000.0,0.0,1800.0,37078.0,37923614720.0,46661632.0,48902074368.0,4.54073704448e+11,0.0,0.0,32135.0,9452.0,3587.0,0.0
17.529,11.067,33.488,37.772,0.0,0.143,558850048.0,16384.0,930.0,20532.0,38343827456.0,46686208.0,49459507200.0,4.53096034304e+11,0.0,0.0,12317.0,11424.0,4054.0,2.0
22.270,12.854,24.275,40.387,0.0,0.215,559394816.0,0.0,1832.0,29060.0,38616285184.0,46731264.0,50021605376.0,4.52261433344e+11,0.0,0.0,15743.0,11557.0,3949.0,0.0
14.746,9.735,34.073,41.195,0.0,0.251,558395392.0,0.0,8401678.0,8395612.0,38667620352.0,46731264.0,50578223104.0,4.51653480448e+11,0.0,0.0,11220.0,10050.0,3564.0,0.0
21.686,12.219,24.116,41.836,0.0,0.143,556986368.0,16384.0,1638.0,21540.0,38817996800.0,46764032.0,51135561728.0,4.50945732608e+11,0.0,0.0,22393.0,10748.0,3665.0,2.0
20.802,14.214,24.132,40.602,0.0,0.251,560189440.0,0.0,3432.0,33012.0,38952284160.0,46764032.0,51695890432.0,4.50251116544e+11,0.0,0.0,98237.0,10862.0,3540.0,0.0
21.956,12.607,27.149,38.181,0.0,0.107,559108096.0,16384.0,8412172.0,8504892.0,38945120256.0,46784512.0,52256014336.0,4.49698136064e+11,0.0,0.0,16096.0,11300.0,3613.0,2.0
17.698,9.725,32.678,39.685,0.0,0.215,556896256.0,0.0,8402154.0,8398144.0,39053594624.0,46788608.0,52808450048.0,4.49037221888e+11,0.0,0.0,11777.0,10252.0,3692.0,0.0
20.851,12.160,23.033,43.848,0.0,0.107,558465024.0,32768.0,1110.0,21984.0,39035379712.0,46809088.0,53370548224.0,4.48493318144e+11,0.0,0.0,19312.0,10922.0,3762.0,1.0
22.890,13.770,34.514,28.755,0.0,0.072,558878720.0,0.0,1568.0,32298.0,39648555008.0,46862336.0,53925535744.0,4.4732510208e+11,0.0,0.0,21567.0,12207.0,4198.0,0.0
24.650,14.496,30.535,30.212,0.0,0.108,559095808.0,36864.0,1110.0,22262.0,39527686144.0,46870528.0,54484942848.0,4.46886555648e+11,0.0,0.0,22570.0,11841.0,4350.0,2.0
22.524,12.656,17.841,46.657,0.0,0.322,557854720.0,24576.0,8402694.0,8399174.0,39633264640.0,46891008.0,55048028160.0,4.4621787136e+11,0.0,0.0,14774.0,10402.0,3499.0,2.0
22.059,14.051,17.269,46.514,0.0,0.107,558915584.0,0.0,780.0,22612.0,39520030720.0,46903296.0,55602778112.0,4.4577634304e+11,0.0,0.0,23652.0,9914.0,3403.0,0.0
24.767,14.209,12.849,47.996,0.0,0.179,558415872.0,57344.0,8405310.0,8420658.0,39479865344.0,46907392.0,56162422784.0,4.45256859648e+11,0.0,0.0,12122.0,10622.0,3479.0,14.0
21.375,12.818,11.600,54.064,0.0,0.143,558923776.0,0.0,930.0,22432.0,39541129216.0,46911488.0,56721166336.0,4.44636848128e+11,0.0,0.0,8423.0,9181.0,3220.0,0.0
24.551,13.676,24.695,36.935,0.0,0.144,557494272.0,0.0,8404027.0,8398542.0,39749083136.0,46919680.0,57279025152.0,4.438710272e+11,0.0,0.0,66832.0,12332.0,4186.0,0.0
22.704,13.953,20.481,42.755,0.0,0.108,557408256.0,28672.0,2580.0,24018.0,39835054080.0,46936064.0,57837576192.0,4.43226488832e+11,0.0,0.0,10594.0,11301.0,3919.0,4.0
22.619,13.486,32.180,31.324,0.0,0.392,557801472.0,0.0,8403582.0,8398076.0,40252014592.0,46940160.0,58393718784.0,4.42253381632e+11,0.0,0.0,25851.0,11118.0,3777.0,0.0
25.143,14.936,33.345,26.504,0.0,0.072,557842432.0,139264.0,1350.0,22814.0,40260296704.0,46956544.0,58953871360.0,4.4168493056e+11,0.0,0.0,23001.0,11420.0,3919.0,4.0
22.155,12.169,34.646,30.923,0.0,0.107,558174208.0,0.0,8402712.0,8401092.0,40045150208.0,46981120.0,59511885824.0,4.41342038016e+11,0.0,0.0,19060.0,10902.0,3776.0,0.0
20.824,11.828,31.864,35.376,0.0,0.108,559595520.0,0.0,8402892.0,8397608.0,40069251072.0,47034368.0,60070191104.0,4.40759578624e+11,0.0,0.0,10730.0,10473.0,3748.0,0.0
21.058,11.763,29.281,37.862,0.0,0.036,560435200.0,45056.0,930.0,22392.0,40049422336.0,47071232.0,60631220224.0,4.40218341376e+11,0.0,0.0,9360.0,9816.0,3439.0,5.0
22.099,12.894,29.047,35.852,0.0,0.107,559988736.0,28672.0,840.0,22324.0,40227696640.0,47079424.0,61189165056.0,4.39482114048e+11,0.0,0.0,12465.0,9959.0,3548.0,3.0
21.752,11.558,26.633,39.950,0.0,0.108,559595520.0,0.0,8404338.0,8400042.0,40256868352.0,47083520.0,61751209984.0,4.38890893312e+11,0.0,0.0,13631.0,11038.0,3887.0,0.0
17.771,12.039,32.032,38.087,0.0,0.072,559874048.0,0.0,1190.0,22360.0,40324317184.0,47091712.0,62310375424.0,4.38264270848e+11,0.0,0.0,8847.0,9579.0,3587.0,0.0
23.394,12.774,31.539,32.185,0.0,0.108,558792704.0,0.0,8403618.0,8399342.0,40478969856.0,47104000.0,62867079168.0,4.37552902144e+11,0.0,0.0,35707.0,12033.0,4156.0,0.0
20.122,11.672,23.272,44.719,0.0,0.215,559050752.0,16384.0,1032.0,22344.0,40486608896.0,47120384.0,63426715648.0,4.3698561024e+11,0.0,0.0,28641.0,10425.0,3713.0,2.0
14.664,8.298,32.546,44.278,0.0,0.215,555577344.0,0.0,8403690.0,8397618.0,40587628544.0,47132672.0,63982718976.0,4.36328574976e+11,0.0,0.0,23448.0,9877.0,3739.0,0.0
17.384,9.892,32.581,39.928,0.0,0.215,557326336.0,40960.0,1052.0,22424.0,40610811904.0,47157248.0,64538894336.0,4.3574919168e+11,0.0,0.0,14465.0,11163.0,4136.0,8.0
22.004,12.874,32.917,31.776,0.0,0.428,558960640.0,0.0,1110.0,22376.0,40786698240.0,47157248.0,65096744960.0,4.3501545472e+11,0.0,0.0,15389.0,11815.0,4333.0,0.0
16.756,10.025,42.213,30.863,0.0,0.143,559771648.0,0.0,8399784.0,8398492.0,40714502144.0,47157248.0,65659449344.0,4.34524946432e+11,0.0,0.0,13249.0,9641.0,3599.0,0.0
19.585,10.849,27.139,42.320,0.0,0.107,560201728.0,28672.0,8403820.0,8397966.0,40668024832.0,47190016.0,66218737664.0,4.34012102656e+11,0.0,0.0,9597.0,9530.0,3388.0,3.0
18.712,9.732,38.354,33.059,0.0,0.143,559104000.0,0.0,780.0,22316.0,40614154240.0,47190016.0,66777653248.0,4.33507057664e+11,0.0,0.0,10867.0,10920.0,4044.0,0.0
19.643,11.836,37.291,30.695,0.0,0.535,559611904.0,0.0,840.0,22332.0,40676433920.0,47202304.0,67340288000.0,4.32882130944e+11,0.0,0.0,9502.0,9968.0,3603.0,0.0
24.866,13.095,33.345,28.551,0.0,0.143,558989312.0,12288.0,8402562.0,8397148.0,40919392256.0,47222784.0,67898679296.0,4.32080760832e+11,0.0,0.0,11494.0,11951.0,4209.0,2.0
19.864,11.438,25.601,42.990,0.0,0.108,560119808.0,0.0,840.0,22432.0,40766136320.0,47230976.0,68457238528.0,4.31675449344e+11,0.0,0.0,9643.0,9713.0,3552.0,0.0
22.838,13.438,23.588,39.814,0.0,0.322,559620096.0,16384.0,870.0,22408.0,40879640576.0,47239168.0,69013811200.0,4.31005364224e+11,0.0,0.0,15670.0,11512.0,4067.0,2.0
28.592,14.547,39.377,17.413,0.0,0.072,536199168.0,0.0,15448.0,30988.0,41144766464.0,47271936.0,69553491968.0,4.302005248e+11,0.0,0.0,26545.0,12032.0,4077.0,0.0
20.693,12.330,23.660,43.031,0.0,0.286,558776320.0,0.0,8387756.0,8389140.0,40982798336.0,47271936.0,70114656256.0,4.2980132864e+11,0.0,0.0,10761.0,8728.0,3103.0,0.0
27.282,12.675,26.352,33.477,0.0,0.215,503222272.0,12288.0,1230.0,22400.0,40968851456.0,47296512.0,70617063424.0,4.29312843776e+11,0.0,0.0,10493.0,10125.0,3281.0,2.0
20.559,12.679,30.050,36.640,0.0,0.072,561160192.0,0.0,8403162.0,8398482.0,41065607168.0,47296512.0,71176069120.0,4.28657082368e+11,0.0,0.0,10754.0,8744.0,3091.0,0.0
21.608,13.352,34.530,30.438,0.0,0.072,560332800.0,16384.0,8403180.0,8400984.0,41208012800.0,47312896.0,71734714368.0,4.27956015104e+11,0.0,0.0,11419.0,9984.0,3486.0,2.0
24.339,12.866,18.406,44.246,0.0,0.143,560820224.0,0.0,780.0,22364.0,41211928576.0,47316992.0,72297820160.0,4.2738898944e+11,0.0,0.0,17715.0,10050.0,3377.0,0.0
19.377,9.205,38.001,33.345,0.0,0.072,558772224.0,28672.0,8400408.0,8397824.0,41422254080.0,47349760.0,72854134784.0,4.26622316544e+11,0.0,0.0,9850.0,10688.0,3970.0,1.0
21.017,13.068,27.103,38.668,0.0,0.143,559894528.0,0.0,840.0,22364.0,41661476864.0,47349760.0,73415114752.0,4.25822113792e+11,0.0,0.0,12495.0,10395.0,3795.0,0.0
18.569,9.159,23.184,48.909,0.0,0.179,556429312.0,24576.0,8403217.0,8399414.0,41404280832.0,47362048.0,73972498432.0,4.25521913856e+11,0.0,0.0,32207.0,10600.0,3770.0,2.0
21.651,10.432,20.293,47.517,0.0,0.107,559460352.0,16384.0,1110.0,22448.0,41418813440.0,47370240.0,74531856384.0,4.24948015104e+11,0.0,0.0,23951.0,10959.0,3770.0,2.0
22.545,13.907,34.552,28.961,0.0,0.036,559448064.0,0.0,900.0,22388.0,41469329408.0,47374336.0,75087699968.0,4.24341651456e+11,0.0,0.0,11631.0,11470.0,4161.0,0.0
24.259,12.897,28.689,33.798,0.0,0.357,496623616.0,114688.0,8406810.0,8396116.0,41468731392.0,47374336.0,75589644288.0,4.23840305152e+11,0.0,0.0,46882.0,9105.0,2925.0,7.0
20.572,14.097,26.190,39.106,0.0,0.036,560672768.0,0.0,780.0,22388.0,41413472256.0,47374336.0,76149137408.0,4.23336071168e+11,0.0,0.0,10256.0,9467.0,3313.0,0.0
25.897,13.235,41.535,19.261,0.0,0.072,559169536.0,0.0,8401440.0,8398572.0,41406136320.0,47378432.0,76707352576.0,4.2278518784e+11,0.0,0.0,11989.0,11661.0,4086.0,0.0
22.802,13.510,28.842,34.811,0.0,0.036,560152576.0,40960.0,1230.0,22440.0,41382932480.0,47394816.0,77267615744.0,4.22248112128e+11,0.0,0.0,41344.0,9857.0,3452.0,5.0
25.501,12.732,34.227,27.217,0.0,0.322,559378432.0,0.0,8405346.0,8397376.0,41359351808.0,47403008.0,77830447104.0,4.21708853248e+11,0.0,0.0,47924.0,11269.0,3806.0,0.0
22.064,12.567,34.202,31.060,0.0,0.107,560623616.0,45056.0,1050.0,22448.0,41315119104.0,47403008.0,78388383744.0,4.21195149312e+11,0.0,0.0,10364.0,9327.0,3269.0,4.0
22.747,13.305,25.787,37.983,0.0,0.179,559411200.0,0.0,8403968.0,8397804.0,41380118528.0,47419392.0,78947057664.0,4.20571459584e+11,0.0,0.0,20185.0,10943.0,3879.0,0.0
25.098,13.391,38.203,23.165,0.0,0.143,558747648.0,0.0,840.0,22412.0,41650176000.0,47435776.0,79504637952.0,4.1974380544e+11,0.0,0.0,23079.0,12158.0,4323.0,0.0
21.113,12.567,34.111,32.101,0.0,0.108,558174208.0,32768.0,8403690.0,8401760.0,41850146816.0,47456256.0,80064573440.0,4.18983878656e+11,0.0,0.0,10137.0,10415.0,3737.0,4.0
24.704,13.123,34.062,27.967,0.0,0.143,557387776.0,28672.0,840.0,22444.0,42021175296.0,47484928.0,80620511232.0,4.18256883712e+11,0.0,0.0,11764.0,11424.0,4019.0,3.0
20.264,12.273,39.600,27.578,0.0,0.285,558456832.0,0.0,8402328.0,8397730.0,41943519232.0,47484928.0,81181720576.0,4.17773330432e+11,0.0,0.0,19274.0,9525.0,3383.0,0.0
17.908,10.279,46.597,25.143,0.0,0.072,557748224.0,0.0,8403342.0,8400178.0,41952829440.0,47484928.0,81737740288.0,4.17208000512e+11,0.0,0.0,10237.0,9790.0,3531.0,0.0
18.123,7.987,47.099,26.683,0.0,0.107,555761664.0,0.0,870.0,22890.0,42016501760.0,47484928.0,82294550528.0,4.16587517952e+11,0.0,0.0,8847.0,10100.0,3662.0,0.0
18.325,12.491,38.117,30.995,0.0,0.072,558317568.0,16384.0,1052.0,22584.0,42078834688.0,47493120.0,82852929536.0,4.15966797824e+11,0.0,0.0,8768.0,9553.0,3469.0,2.0
22.828,12.383,37.114,27.638,0.0,0.036,557293568.0,12288.0,780.0,22460.0,42295439360.0,47513600.0,83408384000.0,4.15194718208e+11,0.0,0.0,14818.0,11356.0,4213.0,2.0
24.464,13.412,44.206,17.847,0.0,0.072,440238080.0,28672.0,1170.0,22544.0,42798985216.0,47517696.0,83846053888.0,4.14253498368e+11,0.0,0.0,10553.0,10092.0,3401.0,5.0
19.141,11.628,31.771,37.388,0.0,0.072,502894592.0,0.0,8401638.0,8397512.0,42202611712.0,47517696.0,84354277376.0,4.14341648384e+11,0.0,0.0,8118.0,8432.0,2856.0,0.0
19.376,11.267,30.212,39.110,0.0,0.036,558354432.0,0.0,8402358.0,8397094.0,42211688448.0,47517696.0,84910477312.0,4.13776371712e+11,0.0,0.0,10130.0,9626.0,3477.0,0.0
21.800,11.904,30.226,36.034,0.0,0.036,557592576.0,28672.0,900.0,22492.0,42190622720.0,47525888.0,85468672000.0,4.1323923456e+11,0.0,0.0,11033.0,10616.0,3698.0,3.0
19.628,11.891,37.321,31.089,0.0,0.072,557289472.0,0.0,8402628.0,8396638.0,42146156544.0,47534080.0,86025015296.0,4.12727349248e+11,0.0,0.0,12494.0,11243.0,4073.0,0.0
14.824,9.261,40.883,34.996,0.0,0.036,556875776.0,12288.0,1170.0,22552.0,42296422400.0,47550464.0,86580408320.0,4.12021673984e+11,0.0,0.0,8980.0,10674.0,4213.0,2.0
21.139,11.716,36.689,30.312,0.0,0.143,557625344.0,0.0,8402820.0,8398618.0,42510508032.0,47550464.0,87141949440.0,4.11246047232e+11,0.0,0.0,60485.0,10978.0,3853.0,0.0
15.255,9.440,30.833,44.472,0.0,0.0,558280704.0,0.0,870.0,22552.0,42419740672.0,47554560.0,87698976768.0,4.10779783168e+11,0.0,0.0,7923.0,8724.0,3287.0,0.0
22.433,11.807,36.923,28.694,0.0,0.143,557740032.0,16384.0,840.0,22484.0,42461536256.0,47562752.0,88254795776.0,4.10182160384e+11,0.0,0.0,12871.0,11488.0,4133.0,2.0
15.838,10.726,29.996,43.404,0.0,0.036,558198784.0,0.0,8402382.0,8398670.0,42329645056.0,47562752.0,88814632960.0,4.097542144e+11,0.0,0.0,7910.0,9022.0,3385.0,0.0
18.296,10.992,32.796,37.880,0.0,0.036,557674496.0,12288.0,900.0,22692.0,42396258304.0,47570944.0,89372520448.0,4.09129705472e+11,0.0,0.0,10223.0,10659.0,3888.0,2.0
14.255,6.877,44.950,33.775,0.0,0.143,554438656.0,0.0,8406948.0,8421716.0,42637152256.0,47570944.0,89926074368.0,4.083352576e+11,0.0,0.0,8654.0,10110.0,3969.0,0.0
19.109,10.022,37.608,33.190,0.0,0.072,555200512.0,0.0,8401877.0,8397430.0,42442403840.0,47575040.0,90482450432.0,4.07973625856e+11,0.0,0.0,11344.0,11301.0,4261.0,0.0
19.049,10.579,32.952,37.205,0.0,0.214,556515328.0,16384.0,1022.0,22684.0,42720935936.0,47607808.0,91039080448.0,4.07138430976e+11,0.0,0.0,9578.0,10320.0,3751.0,2.0
12.603,5.998,47.090,34.202,0.0,0.107,557039616.0,0.0,8401816.0,8396308.0,42763886592.0,47607808.0,91596541952.0,4.06538018816e+11,0.0,0.0,8543.0,9293.0,3472.0,0.0
14.821,8.286,42.429,34.107,0.0,0.357,558424064.0,90112.0,720.0,22500.0,42699436032.0,47616000.0,92154499072.0,4.06044504064e+11,0.0,0.0,8388.0,9415.0,3421.0,1.0
20.835,11.595,34.963,32.180,0.0,0.428,560005120.0,12288.0,1170.0,22568.0,42774736896.0,47624192.0,92715155456.0,4.05408538624e+11,0.0,0.0,9412.0,10002.0,3505.0,2.0
21.160,12.030,37.880,28.822,0.0,0.107,558698496.0,0.0,932.0,22656.0,42973663232.0,47624192.0,93273534464.0,4.0465123328e+11,0.0,0.0,10983.0,11519.0,4248.0,0.0
23.951,13.266,38.222,24.489,0.0,0.072,559292416.0,28672.0,8402718.0,8397068.0,42830274560.0,47636480.0,93832900608.0,4.0423524352e+11,0.0,0.0,11466.0,11508.0,3915.0,3.0
18.240,11.660,39.378,30.687,0.0,0.036,561303552.0,0.0,780.0,22532.0,42819244032.0,47636480.0,94392815616.0,4.0368635904e+11,0.0,0.0,7829.0,8828.0,3230.0,0.0
23.074,12.970,39.197,24.722,0.0,0.036,559394816.0,20480.0,900.0,22524.0,43007569920.0,47644672.0,94952198144.0,4.02938642432e+11,0.0,0.0,10924.0,12003.0,4239.0,5.0
